PTNBH,Link,Pemilik,Jenis,Sebab,HTTPS
UI,https://pascakomunikasi.fisip.ui.ac.id/wp-includes/assets/mpo-slot/,Departemen,Pascasarjana,Wordpress,TRUE
UI,https://arc.ui.ac.id/-/slot-gacor/,PTN,Layanan,Empty directory,TRUE
UI,https://ppm.ui.ac.id/wp-content/slot88/,PTN,Layanan,Wordpress,TRUE
UI,https://mpkp.feb.ui.ac.id/wp-content/slot-gacor/,Departemen,Pascasarjana,Wordpress,TRUE
UI,https://symposiumjessd.ui.ac.id/wp-content/uploads/slot-5000/,Panitia Event,Event,Wordpress,TRUE
UI,https://polygeneration2023.ui.ac.id/-/slot-dana/,Panitia Event,Event,Empty directory,TRUE
UI,https://hirc.ui.ac.id/wp-content/uploads/2023/09/pulsa2.html,Fakultas,Lainnya,Wordpress,TRUE
UI,https://fkg.ui.ac.id/wp-content/slot-pragmatic/,Fakultas,Lainnya,Wordpress,TRUE
ITB,https://journal.sbm.itb.ac.id/plugins/forddiben403/slot-pulsa/,Fakultas,Jurnal,Sistem,TRUE
IPB,https://digitani.ipb.ac.id/wp-content/uploads/2023/09/indoslot/,PTN,Layanan,Wordpress,TRUE
IPB,https://csagri.apps.cs.ipb.ac.id/wp-content/uploads/slot-demo/,Panitia Event,Event,Wordpress,TRUE
IPB,https://atp.ipb.ac.id/naughtily4z-wx0mb8u52.html,PTN,Layanan,Lainnya,TRUE
ITS,https://hima.ce.its.ac.id/hmsits/wp-content/languages/themes/slot-thailand/,Mahasiswa,Himpunan,Wordpress,TRUE
ITS,http://mmt.its.ac.id/wp-includes/css/dist/index.php?login=gacorwin,Departemen,Pascasarjana,Wordpress,FALSE
ITS,http://high-voltage.ee.its.ac.id/slot-garansi-anti-rungkad/,Lab,Lainnya,Lainnya,FALSE
ITS,https://vibrastic.ep.its.ac.id/mjgiybuz-f1649335.html,Lab,Lainnya,Lainnya,TRUE
ITS,https://senta.its.ac.id/-/slot-gacor/,Conference,Lainnya,Empty directory,TRUE
UNPAD,https://marine.fpik.unpad.ac.id/wp-content/-/slot777/,Departemen,Sarjana,Wordpress,TRUE
UNPAD,https://mkp.fisip.unpad.ac.id/doflamingo/judi-indomaster88/,Departemen,Pascasarjana,Lainnya,TRUE
UNPAD,http://bachelor.statistics.unpad.ac.id/-/slot-bonus/,Departemen,Sarjana,Empty directory,FALSE
UNPAD,http://parasitologi.fk.unpad.ac.id/wp-content/uploads/-/pages/?tunnel=trik+gacor+main+slot,Departemen,Sarjana,Wordpress,FALSE
UNPAD,https://mpm.fikom.unpad.ac.id/wp-content/languages/themes/Slot-bonus/,Departemen,Sarjana,Wordpress,TRUE
UNPAD,https://labtv.fikom.unpad.ac.id/wp-includes/Text/-/slot77/,Lab,Lainnya,Wordpress,TRUE
UNDIP,https://tigris.notariat.fh.undip.ac.id/uploads/slot-maxwin.html,Departemen,Pascasarjana,Sistem,TRUE
UNDIP,"https://io.undip.ac.id/search/SLOT%20GACOR%2088[~ubxvyfr.xyz~],SLOT%20GACOR%2088[~ubxvyfr.xyz~],SLOT%20GACOR%2088jz4",PTN,Layanan,Search,TRUE
UNDIP,http://sister.undip.ac.id/-/Hoki77,PTN,Layanan,Empty directory,FALSE
UNDIP,https://akuakultur.fpik.undip.ac.id/.well-known/slot88/,Departemen,sarjana,Sistem,TRUE
UNDIP,https://lpmnuansa.undip.ac.id/wp-content/fonts/goltogel,Mahasiswa,UKM,Wordpress,TRUE
UNAIR,https://e-ipki.ppjpi.unair.ac.id/-/slot-gacor/,PTN,Jurnal,Empty directory,TRUE
UNAIR,https://fisika.fst.unair.ac.id/wp-content/uploads/2010/02/02/,Departemen,sarjana,Wordpress,TRUE
UB,http://bidan.fk.ub.ac.id/wp-content/themes/global/,Departemen,Sarjana,Wordpress,FALSE
UB,https://bpfpik.ub.ac.id/-/slot-gacor/,Departemen,Sarjana,Empty directory,TRUE
UB,http://mmrs.fk.ub.ac.id/wp-content/themes/twentytwelve/inc/pages-one/slot5000/,Departemen,Pascasarjana,Wordpress,FALSE
UB,https://ppsmipa.ub.ac.id/?e=slot-terpercaya.html,Departemen,Pascasarjana,Search,TRUE
UB,https://biologi.ub.ac.id/?w=net77-link-slot-terpercaya.html,Departemen,Sarjana,Search,TRUE
UB,https://matematika.ub.ac.id/wp-content/barbar77-video-slot-maxwin/,Departemen,Sarjana,Wordpress,TRUE
USU,https://arsip-ppds.usu.ac.id/-/slot-gacor-hari-ini/,Departemen,Lainnya,Empty directory,TRUE
UNHAS,https://sci.unhas.ac.id/wp-content/slot-rtp/,Fakultas,Lainnya,Wordpress,TRUE
UNS,https://elektro.ft.uns.ac.id/tag/bocoran-slot-gacor-hari-ini-2022/,Departemen,Lainnya,Sistem,TRUE
UNS,https://ilmutanah.fp.uns.ac.id/system/ks/gold/slot-dana/,Departemen,Lainnya,Sistem,TRUE
UPI,https://student.upi.edu/download/ektm/-/slot-303/,PTN,Layanan,Empty directory,TRUE
UNAND,https://pmb.unand.ac.id/keketatan-penerimaan-mahasiswa-baru/,PTN,Layanan,Lainnya,TRUE
UNP,https://fpp.unp.ac.id/?ads=slot-gacor,Fakultas,Lainnya,Search,TRUE
UNY,http://isimmed-isse.uny.ac.id/,PTN,Conference,Lainnya,FALSE